Color,en_name,fr_name,Abbreviation
#DCDCDC,No Affiliation,Aucune appartenance,N/A
#F4A460,New Democratic Party,Nouveau Parti democratique,NDP
#6495ED,Conservative Party of Canada,Parti conservateur du Canada,Conservative
#99C955,Green Party of Canada,Le Parti vert du Canada,Green
#FFFFFF,Strength in Democracy,Forces et Democratie,Forces
#EA6D6A,Liberal Party of Canada,Parti liberal du Canada,Liberal
#FF6347,Communist Party of Canada,Parti communiste du Canada,Comm.
#CC6699,Christian Heritage Party of Canada,Parti de l'Heritage Chretien du Canada,CHP
#DCDCDC,Independent,Independent ,Ind
#FFFF00,Marxist-Leninist Party of Canada,Parti communiste du Canada (marxiste-l_niniste),Marx.
#D8BFD8,Rhinoceros Party,Parti Rhinoceros,Rhino.
#F2BA00,Libertarian Party of Canada,Parti Libertarien du Canada,Libert.
#87CEFA,Bloc Quebecois,Bloc Quebecois,BQ
#DCDCDC,Alliance of the North,Alliance du Nord,AOTN
#DCDCDC,No Affiliation,Aucune appartenance,N/A
#DE3163,United Party of Canada,Parti Uni du Canada,United
#336033,Animal Alliance Environment Voters Party of Canada,Animal Alliance Environment Voters Party of Canada,Animal All.
#DC143C,Canadian Action Party,Parti action canadienne,CAP
#6666CC,Progressive Canadian Party,Parti Progressiste Canadien,PC
#D2B48C,Marijuana Party,Parti Marijuana,Mar.
#71079F,Pirate Party of Canada,Parti Pirate du Canada,Pirate
#DCDCDC,"Party for Accountability, Competency and Transparency","Parti pour la Responsabilisation, la Competence et la Transparence",PACT
#DCDCDC,Seniors Party of Canada,Parti des aines du Canada,Seniors
#9370DB,The Bridge Party of Canada,Parti pour nouer des liens entre Canadiens,Bridge
#DCDCDC,Canada Party,Parti Canada,Can
#DCDCDC,Democratic Advancement Party of Canada,Parti pour l'Avancement de la Democratie au Canada,DAPC
