Code,name,population,province,riding_id
1,CANADA-1,,,
2,CANADA-2,,,
3,CANADA-3,,,
4,CANADA-4,,,
5,CANADA-5,,,
6,CANADA-6,,,
7,CANADA-7,,,
8,CANADA-8,,,
9,CANADA-9,,,
10,CANADA-10,,,
11,CANADA-11,,,
12,CANADA-12,,,
13,CANADA-13,,,
14,CANADA-14,,,
15,CANADA-15,,,
16,CANADA-16,,,
17,CANADA-17,,,
18,CANADA-18,,,
19,CANADA-19,,,
20,CANADA-20,,,
21,CANADA-21,,,
22,CANADA-22,,,
23,CANADA-23,,,
24,CANADA-24,,,
25,CANADA-25,,,
26,CANADA-26,,,
27,CANADA-27,,,
28,CANADA-28,,,
29,CANADA-29,,,
30,CANADA-30,,,
31,CANADA-31,,,
32,CANADA-32,,,
33,CANADA-33,,,
34,CANADA-34,,,
35,CANADA-35,,,
36,CANADA-36,,,
37,CANADA-37,,,
38,CANADA-38,,,
39,CANADA-39,,,
40,CANADA-40,,,
41,CANADA-41,,,
42,CANADA-42,,,
43,CANADA-43,,,
44,CANADA-44,,,
45,CANADA-45,,,
46,CANADA-46,,,
47,CANADA-47,,,
10001,Avalon,"81,540",NFLD,1
10002,Bonavista_Burin_Trinity,"76,704",NFLD,1
10003,Coast of Bays_Central_Notre Dame,"78,092",NFLD,1
10004,Labrador,"26,728",NFLD,1
10005,Long Range Mountains,"87,592",NFLD,1
10006,St. John's East,"81,936",NFLD,1
10007,St. John's South_Mount Pearl,"81,944",NFLD,1
11001,Cardigan,"36,005",PEI,2
11002,Charlottetown,"34,562",PEI,2
11003,Egmont,"34,598",PEI,2
11004,Malpeque,"35,039",PEI,2
12001,Cape Breton_Canso,"75,247",NS,2
12002,Central Nova,"74,597",NS,2
12003,Cumberland_Colchester,"82,321",NS,2
12004,Dartmouth_Cole Harbour,"91,212",NS,3
12005,Halifax,"92,643",NS,3
12006,Halifax West,"87,275",NS,3
12007,Kings_Hants,"83,306",NS,3
12008,Sackville_Preston_Chezzetcook,"85,583",NS,3
12009,South Shore_St. Margarets,"92,561",NS,3
12010,Sydney_Victoria,"73,328",NS,3
12011,West Nova,"83,654",NS,3
13001,Acadie_Bathurst,"79,340",NB,4
13002,BeausÄjour,"80,416",NB,4
13003,Fredericton,"81,759",NB,4
13004,Fundy Royal,"79,331",NB,4
13005,Madawaska_Restigouche,"62,540",NB,4
13006,Miramichi_Grand Lake,"59,343",NB,4
13007,Moncton_Riverview_Dieppe,"89,484",NB,4
13008,New Brunswick Southwest,"66,197",NB,5
13009,Saint John_Rothesay,"82,129",NB,5
13010,Tobique_Mactaquac,"70,632",NB,5
24001,Abitibi_Baie-James_Nunavik_Eeyou,"85,475",QC,5
24002,Abitibi_TÄmiscamingue,"102,794",QC,5
24003,Ahuntsic-Cartierville,"110,473",QC,5
24004,Alfred-Pellan,"98,045",QC,5
24005,Argenteuil_La Petite-Nation,"94,208",QC,6
24006,Avignon_La Mitis_Matane_MatapÄdia,"74,547",QC,6
24007,Beauce,"106,337",QC,6
24008,Beauport_Limoilou,"92,944",QC,6
24009,BÄcancour_Nicolet_Saurel,"93,779",QC,6
24010,Bellechasse_Les Etchemins_LÄvis,"112,385",QC,6
24011,Beloeil_Chambly,"109,955",QC,6
24012,Berthier_MaskinongÄ,"98,590",QC,7
24013,ThÄr_se-De Blainville*,"98,499",QC,7
24014,Pierre-Boucher_Les Patriotes_Verch_res*,"95,326",QC,7
24015,Bourassa,"100,286",QC,7
24016,Brome_Missisquoi,"98,616",QC,7
24017,Brossard_Saint-Lambert,"100,828",QC,7
24018,Rimouski-Neigette_TÄmiscouata_Les Basques*,"84,809",QC,7
24019,Charlesbourg_Haute-Saint-Charles,"103,331",QC,8
24020,Beauport_C‹te-de-BeauprÄ__le d'OrlÄans_Charlevoix*,"92,496",QC,8
24021,Ch_teauguay_Lacolle,"92,169",QC,8
24022,Chicoutimi_Le Fjord*,"81,501",QC,8
24023,Compton_Stanstead,"101,946",QC,8
24024,Dorval_Lachine_LaSalle*,"106,886",QC,8
24025,Drummond,"98,681",QC,8
24026,GaspÄsie_Les _les-de-la-Madeleine,"78,833",QC,9
24027,Gatineau,"106,424",QC,9
24028,Hochelaga,"103,436",QC,9
24029,HonorÄ-Mercier,"102,587",QC,9
24030,Hull_Aylmer,"103,447",QC,9
24031,Joliette,"100,683",QC,9
24032,Jonqui_re,"87,596",QC,9
24033,La Pointe-de-l'_le,"103,512",QC,9
24034,La Prairie,"99,811",QC,10
24035,Lac-Saint-Jean,"105,783",QC,10
24036,Lac-Saint-Louis,"108,795",QC,10
24037,LaSalle_êmard_Verdun*,"105,317",QC,10
24038,Laurentides_Labelle,"111,357",QC,10
24039,Laurier_Sainte-Marie,"107,034",QC,10
24040,Laval_Les _les,"103,053",QC,10
24041,Longueuil_Charles-LeMoyne*,"104,895",QC,11
24042,LÄvis_Lotbini_re,"107,593",QC,11
24043,Longueuil_Saint-Hubert*,"104,366",QC,11
24044,Louis-HÄbert,"104,038",QC,11
24045,Louis-Saint-Laurent,"106,888",QC,11
24046,Manicouagan,"94,766",QC,11
24047,MÄgantic_L'êrable,"88,745",QC,11
24048,Mirabel,"103,536",QC,12
24049,Montarville,"95,095",QC,12
24050,Montcalm,"99,518",QC,12
24051,Montmagny_L'Islet_Kamouraska_Rivi_re-du-Loup,"97,261",QC,12
24052,Mount Royal*,"101,258",QC,12
24053,Notre-Dame-de-Gr_ce_Westmount,"104,410",QC,12
24054,Outremont,"100,916",QC,12
24055,Papineau,"108,977",QC,12
24056,Pierrefonds_Dollard,"108,740",QC,13
24057,Pontiac,"106,499",QC,13
24058,Portneuf_Jacques-Cartier,"104,394",QC,13
24059,QuÄbec,"96,525",QC,13
24060,Repentigny,"111,191",QC,13
24061,Richmond_Arthabaska,"103,897",QC,13
24062,Rivi_re-des-Mille-_les,"102,816",QC,13
24063,Rivi_re-du-Nord,"102,085",QC,14
24064,Rosemont_La Petite-Patrie,"106,293",QC,14
24065,Marc-Aur_le-Fortin*,"96,082",QC,14
24066,Saint-Hyacinthe_Bagot,"99,629",QC,14
24067,Saint-Jean,"108,244",QC,14
24068,Saint-Laurent,"93,842",QC,14
24069,Saint-LÄonard_Saint-Michel,"110,649",QC,14
24070,Saint-Maurice_Champlain,"110,273",QC,15
24071,Salaberry_Suro_t,"107,036",QC,15
24072,Shefford,"107,538",QC,15
24073,Sherbrooke,"107,988",QC,15
24074,Vaudreuil_Soulanges*,"111,905",QC,15
24075,Terrebonne,"106,322",QC,15
24076,Trois-Rivi_res,"108,774",QC,15
24077,Ville-Marie_Le Sud-Ouest__le-des-Soeurs*,"103,070",QC,16
24078,Vimy,"104,373",QC,16
35001,Ajax,"109,600",ON,16
35002,Algoma_Manitoulin_Kapuskasing,"79,801",ON,16
35003,Aurora_Oak Ridges_Richmond Hill,"106,064",ON,16
35004,Barrie_Innisfil,"101,584",ON,16
35005,Barrie_Springwater_Oro-Medonte,"97,876",ON,16
35006,Bay of Quinte,"109,488",ON,17
35007,Beaches_East York,"107,084",ON,17
35008,Brampton Centre,"103,122",ON,17
35009,Brampton East,"99,712",ON,17
35010,Brampton North,"111,951",ON,17
35011,Brampton South,"107,364",ON,17
35012,Brampton West,"101,762",ON,17
35013,Brantford_Brant*,"132,443",ON,18
35014,Bruce_Grey_Owen Sound,"106,475",ON,18
35015,Burlington,"120,569",ON,18
35016,Cambridge,"111,693",ON,18
35017,Chatham-Kent_Leamington,"111,866",ON,18
35018,Davenport,"102,360",ON,18
35019,Don Valley East,"93,007",ON,18
35020,Don Valley North,"103,073",ON,19
35021,Don Valley West,"99,820",ON,19
35022,Dufferin_Caledon,"116,341",ON,19
35023,Durham,"115,395",ON,19
35024,Eglinton_Lawrence,"113,150",ON,19
35025,Elgin_Middlesex_London,"110,109",ON,19
35026,Essex,"120,477",ON,19
35027,Etobicoke Centre,"114,910",ON,20
35028,Etobicoke_Lakeshore,"115,437",ON,20
35029,Etobicoke North,"117,601",ON,20
35030,Flamborough_Glanbrook,"97,081",ON,20
35031,Glengarry_Prescott_Russell,"106,240",ON,20
35032,Guelph,"121,688",ON,20
35033,Haldimand_Norfolk,"108,051",ON,20
35034,Haliburton_Kawartha Lakes_Brock,"110,182",ON,21
35035,Hamilton Centre,"101,932",ON,21
35036,Hamilton East_Stoney Creek,"107,786",ON,21
35037,Hamilton Mountain,"103,615",ON,21
35038,Hamilton West_Ancaster_Dundas,"109,535",ON,21
35039,Hastings_Lennox and Addington,"92,528",ON,21
35040,Huron_Bruce,"104,842",ON,21
35041,Kanata_Carleton,"100,846",ON,22
35042,Kenora,"55,977",ON,22
35043,King_Vaughan,"109,235",ON,22
35044,Kingston and the Islands,"116,996",ON,22
35045,Kitchener Centre,"102,433",ON,22
35046,Kitchener_Conestoga,"93,827",ON,22
35047,Kitchener South_Hespeler,"97,673",ON,22
35048,Lambton_Kent_Middlesex,"105,919",ON,23
35049,Lanark_Frontenac_Kingston*,"98,409",ON,23
35050,Leeds_Grenville_Thousand Islands and Rideau Lakes*,"99,306",ON,23
35051,London_Fanshawe,"119,334",ON,23
35052,London North Centre,"118,079",ON,23
35053,London West,"119,090",ON,23
35054,Markham_Stouffville,"109,780",ON,23
35055,Markham_Thornhill,"102,221",ON,24
35056,Markham_Unionville,"104,693",ON,24
35057,Milton,"88,065",ON,24
35058,Mississauga Centre,"118,756",ON,24
35059,Mississauga East_Cooksville*,"121,792",ON,24
35060,Mississauga_Erin Mills,"117,199",ON,24
35061,Mississauga_Lakeshore,"118,893",ON,24
35062,Mississauga_Malton,"118,046",ON,25
35063,Mississauga_Streetsville,"118,757",ON,25
35064,Nepean,"104,775",ON,25
35065,Newmarket_Aurora,"109,457",ON,25
35066,Niagara Centre,"105,860",ON,25
35067,Niagara Falls,"128,357",ON,25
35068,Niagara West,"86,533",ON,25
35069,Nickel Belt,"90,962",ON,26
35070,Nipissing_Timiskaming,"90,996",ON,26
35071,Northumberland_Peterborough South*,"107,840",ON,26
35072,Oakville,"119,649",ON,26
35073,Oakville North_Burlington,"114,378",ON,26
35074,Oshawa,"125,771",ON,26
35075,Ottawa Centre,"113,619",ON,26
35076,OrlÄans*,"119,247",ON,27
35077,Ottawa South,"121,894",ON,27
35078,Ottawa_Vanier,"110,999",ON,27
35079,Ottawa West_Nepean,"111,881",ON,27
35080,Oxford,"108,656",ON,27
35081,Parkdale_High Park,"105,103",ON,27
35082,Parry Sound_Muskoka,"91,263",ON,27
35083,Perth_Wellington,"104,912",ON,28
35084,Peterborough_Kawartha*,"115,269",ON,28
35085,Pickering_Uxbridge,"109,344",ON,28
35086,Renfrew_Nipissing_Pembroke,"102,537",ON,28
35087,Richmond Hill,"108,658",ON,28
35088,Carleton*,"89,522",ON,28
35089,St. Catharines,"110,596",ON,28
35090,Toronto_St. Paul's*,"103,983",ON,29
35091,Sarnia_Lambton,"106,293",ON,29
35092,Sault Ste. Marie,"82,052",ON,29
35093,Scarborough_Agincourt,"104,499",ON,29
35094,Scarborough Centre,"108,826",ON,29
35095,Scarborough_Guildwood,"101,914",ON,29
35096,Scarborough North,"101,080",ON,29
35097,Scarborough_Rouge Park,"102,646",ON,30
35098,Scarborough Southwest,"106,733",ON,30
35099,Simcoe_Grey,"116,307",ON,30
35100,Simcoe North,"108,672",ON,30
35101,Spadina_Fort York,"82,480",ON,30
35102,Stormont_Dundas_South Glengarry,"100,913",ON,30
35103,Sudbury,"92,048",ON,30
35104,Thornhill,"110,427",ON,30
35105,Thunder Bay_Rainy River,"82,984",ON,30
35106,Thunder Bay_Superior North,"82,827",ON,30
35107,Timmins_James Bay,"83,104",ON,30
35108,Toronto Centre,"93,971",ON,31
35109,Toronto_Danforth,"104,017",ON,31
35110,University_Rosedale,"98,605",ON,31
35111,Vaughan_Woodbridge,"105,450",ON,31
35112,Waterloo,"103,192",ON,31
35113,Wellington_Halton Hills,"115,880",ON,31
35114,Whitby,"122,022",ON,31
35115,Willowdale,"109,680",ON,32
35116,Windsor_Tecumseh,"115,528",ON,32
35117,Windsor West,"118,973",ON,32
35118,York Centre,"100,277",ON,32
35119,York_Simcoe,"94,616",ON,32
35120,York South_Weston,"116,606",ON,32
