Postal Code,Place Name,Province,Latitude,Longitude,Other Riding
A0A,Southeastern Avalon Peninsula (Ferryland),Newfoundland and Labrador,47.0073,-52.9589,1
A0B,Western Avalon Peninsula (Argentia),Newfoundland and Labrador,47.7609,-53.9834,1
A0C,Bonavista Peninsula (Bonavista),Newfoundland and Labrador,48.3464,-53.9646,1
A0E,Burin Peninsula (Marystown),Newfoundland and Labrador,47.3597,-54.8984,1
A0G,Northeast Newfoundland (Lewisporte),Newfoundland and Labrador,49.4536,-54.1045,1
A0H,Central Newfoundland (Bishops Falls),Newfoundland and Labrador,49.1301,-56.0845,1
A0J,Northern Newfoundland (Springdale),Newfoundland and Labrador,49.5959,-55.6739,1
A0K,Northwest Newfoundland/Eastern Labrador (Mary's Harbour),Newfoundland and Labrador,51.2327,-56.7969,1
A0L,Western Newfoundland (Lark Harbour),Newfoundland and Labrador,48.9934,-58.1009,1
A0M,Southwestern Newfoundland (Channel-Port aux Basques),Newfoundland and Labrador,48.1816,-58.858,1
A0N,Port au Port Peninsula region (St. George's),Newfoundland and Labrador,48.6113,-58.8736,1
A0P,Central Labrador (Happy Valley-Goose Bay),Newfoundland and Labrador,55.8889,-60.8805,1
A0R,North/Western Labrador (Churchill Falls),Newfoundland and Labrador,53.5329,-64.0145,1
A1A,St. John's North,Newfoundland and Labrador,47.571,-52.6961,1
A1B,St. John's Northwest Newfoundland & Labrador Provincial Government,Newfoundland and Labrador,47.5736,-52.7083,1
A1C,St. John's North Central,Newfoundland and Labrador,47.5677,-52.7031,1
A1E,St. John's Central,Newfoundland and Labrador,47.5507,-52.7147,1
A1G,St. John's South,Newfoundland and Labrador,47.5295,-52.7417,1
A1H,St. John's Southwest,Newfoundland and Labrador,47.4926,-52.8123,1
A1K,Torbay,Newfoundland and Labrador,47.6542,-52.7367,1
A1L,Paradise,Newfoundland and Labrador,47.5363,-52.8389,1
A1M,Portugal Cove-St. Philips,Newfoundland and Labrador,47.5982,-52.8384,1
A1N,Mount Pearl,Newfoundland and Labrador,47.5203,-52.7789,1
