Electoral District Number / No de circonscription,Electoral District Name,Nom de la circonscription,Political Affiliation,Appartenance politique,Candidate's Family Name / Nom de famille du candidat,Candidate's First Name / Pr_nom du candidat, Candidate's Initial(s) / Initiale(s) du candidat,Date of Receipt of Notification of Confirmation / Date de r_ception de l'avis de confirmation,Time of Receipt of Notification of Confirmation / Heure de r_ception de l'avis de confirmation
10001,Avalon,Avalon,No Affiliation,Aucune appartenance,Andrews,Scott,,12-Aug-15,11:40:00
10001,Avalon,Avalon,New Democratic Party,Nouveau Parti d_mocratique,Baldwin,Jeannie,,04-Sep-15,2:40:00
10001,Avalon,Avalon,Conservative Party of Canada,Parti conservateur du Canada,Barnett,Lorraine E.,,17-Sep-15,11:58:00
10001,Avalon,Avalon,Green Party of Canada,Le Parti Vert du Canada,Byrne-Puumala,Krista,,26-Sep-15,8:55:00
10001,Avalon,Avalon,Strength in Democracy,Forces et D_mocratie,McCreath,Jennifer,,28-Sep-15,7:35:00
10001,Avalon,Avalon,Liberal Party of Canada,Parti liberal du Canada,McDonald,Ken,,21-Aug-15,1:15:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,New Democratic Party,Nouveau Parti d_mocratique,Brown,Jenn,,16-Sep-15,8:11:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green Party of Canada,Le Parti Vert du Canada,Colbourne,Tyler John,,26-Sep-15,10:02:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal Party of Canada,Parti lib_ral du Canada,Foote,Judy M.,,20-Aug-15,2:09:00
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative Party of Canada,Parti conservateur du Canada,Windsor,Mike,,24-Sep-15,7:15:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,New Democratic Party,Nouveau Parti d_mocratique,Menchenton,Claudette,,31-Aug-15,1:45:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative Party of Canada,Parti conservateur du Canada,O'Brien,Kevin George,,14-Aug-15,3:30:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Green Party of Canada,Le Parti Vert du Canada,Perry,Elizabeth,,22-Sep-15,11:00:00
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Liberal Party of Canada,Parti lib_ral du Canada,Simms,Scott,,29-Aug-15,10:30:00
10004,Labrador,Labrador,Liberal Party of Canada,Parti lib_ral du Canada,Jones,Yvonne,,26-Aug-15,5:54:00
10004,Labrador,Labrador,Conservative Party of Canada,Parti conservateur du Canada,Penashue,Peter,,24-Sep-15,2:30:00
10004,Labrador,Labrador,New Democratic Party,Nouveau Parti d_mocratique,Rudkowski,Edward,,21-Sep-15,7:50:00
10005,Long Range Mountains,Long Range Mountains,New Democratic Party,Nouveau Parti d_mocratique,Babstock,Devon,,11-Sep-15,11:50:00
10005,Long Range Mountains,Long Range Mountains,Green Party of Canada,Le Parti Vert du Canada,Cormier,Terry,,20-Aug-15,11:10:00
10005,Long Range Mountains,Long Range Mountains,Liberal Party of Canada,Parti liberal du Canada,Hutchings,Gudie,,29-Aug-15,4:15:00
10005,Long Range Mountains,Long Range Mountains,Conservative Party of Canada,Parti conservateur du Canada,Ruth,Wayne,,17-Sep-15,8:35:00
10006,St. John's East,St. John's-Est,Communist Party of Canada,Parti communiste du Canada,Burton,Sean,,03-Sep-15,12:05:00
10006,St. John's East,St. John's-Est,New Democratic Party,Nouveau Parti d_mocratique,Harris,Jack,,17-Aug-15,1:34:00
